Channel,H vs SCC,H vs BCC,SCC vs BCC
53,0.595194701,0.53800691,0.494344086
54,0.598484175,0.534869976,0.497268817
55,0.615220484,0.530323695,0.514774194
56,0.605574324,0.528346063,0.512387097
57,0.608597084,0.533847063,0.500752688
58,0.599795519,0.535324604,0.489526882
59,0.595861486,0.541143844,0.515655914
60,0.596194879,0.545053646,0.518731183
61,0.594305654,0.546622113,0.516623656
62,0.588815789,0.547099473,0.52427957
63,0.593905583,0.552600473,0.526709677
64,0.596061522,0.544280778,0.523612903
65,0.592016358,0.546235679,0.516516129
66,0.592105263,0.539552646,0.475741935
67,0.593394381,0.543098745,0.522774194
68,0.594639047,0.549872704,0.520645161
69,0.594372333,0.542735043,0.521333333
70,0.595950391,0.538347881,0.479913978
71,0.593972262,0.541916712,0.51688172
72,0.597217283,0.540802873,0.516516129
73,0.598973151,0.541439353,0.477526882
74,0.596506046,0.547690489,0.480408602
75,0.599284317,0.550009093,0.478623656
76,0.598706437,0.548917985,0.524322581
77,0.600240043,0.552418622,0.527698925
78,0.596906117,0.556783051,0.531397849
79,0.60095128,0.558601564,0.530451613
80,0.601929232,0.557487725,0.53483871
81,0.597328414,0.559283506,0.538580645
82,0.597884068,0.560874704,0.53888172
83,0.5970617,0.5648527,0.538064516
84,0.601440256,0.563602473,0.539139785
85,0.60112909,0.5621022,0.533462366
86,0.602640469,0.562056738,0.527053763
87,0.597572902,0.562329514,0.53488172
88,0.593127667,0.565511911,0.541698925
89,0.588393492,0.563966176,0.546580645
90,0.589438122,0.563329696,0.548989247
91,0.588282361,0.564011638,0.549935484
92,0.592060811,0.570899254,0.552387097
93,0.588015647,0.565921077,0.551741935
94,0.58863798,0.56823968,0.551354839
95,0.585881935,0.566421167,0.552430108
96,0.587637802,0.568603382,0.554709677
97,0.584548364,0.565511911,0.553956989
98,0.586415363,0.565511911,0.552172043
99,0.589260313,0.568148754,0.55772043
100,0.588126778,0.564102564,0.556086022
101,0.584237198,0.568830696,0.560645161
102,0.585926387,0.567239498,0.555505376
103,0.589482575,0.566193853,0.553182796
104,0.585970839,0.565398254,0.552752688
105,0.585259602,0.564602655,0.553290323
106,0.589660384,0.565602837,0.553376344
107,0.587682255,0.567353155,0.555827957
108,0.588415718,0.565739225,0.550666667
109,0.586682077,0.566739407,0.554967742
110,0.587704481,0.563102382,0.554451613
111,0.584859531,0.564261684,0.548946237
112,0.58730441,0.565602837,0.559569892
113,0.586859886,0.561102019,0.553849462
114,0.586993243,0.565693763,0.553548387
115,0.583459282,0.563375159,0.556946237
116,0.585815256,0.560738316,0.556903226
117,0.587082148,0.563784324,0.554602151
118,0.587437767,0.564420804,0.554494624
119,0.586593172,0.56419349,0.554688172
120,0.58654872,0.559283506,0.552989247
121,0.586015292,0.557374068,0.558193548
122,0.588371266,0.561147481,0.554580645
123,0.588793563,0.55951082,0.552086022
124,0.585526316,0.560056374,0.552043011
125,0.586904339,0.558624295,0.554580645
126,0.585748578,0.555078196,0.550666667
127,0.58730441,0.554691762,0.548430108
128,0.589349218,0.55691944,0.550709677
129,0.588193457,0.557601382,0.549591398
130,0.589126956,0.558419713,0.545806452
131,0.586504267,0.558965266,0.550580645
132,0.588549075,0.556032915,0.547741935
133,0.588771337,0.553259684,0.548989247
134,0.586059744,0.553191489,0.550408602
135,0.587748933,0.557283142,0.545075269
136,0.586726529,0.555873795,0.548301075
137,0.587215505,0.558419713,0.546021505
138,0.587837838,0.556101109,0.546709677
139,0.589615932,0.556578469,0.545354839
140,0.588149004,0.553600655,0.544043011
141,0.588215683,0.552964175,0.543849462
142,0.589438122,0.554418985,0.537784946
143,0.588415718,0.551918531,0.544688172
144,0.587793385,0.554509911,0.537591398
145,0.588549075,0.554282597,0.538967742
146,0.58561522,0.552691398,0.543268817
147,0.588593528,0.551782142,0.538752688
148,0.588860242,0.547645026,0.539483871
149,0.590638336,0.548827059,0.54027957
150,0.592727596,0.549145299,0.538107527
151,0.591127312,0.550418258,0.534172043
152,0.588682432,0.552645936,0.534107527
153,0.589927098,0.551168394,0.532172043
154,0.589793741,0.550100018,0.536322581
155,0.588460171,0.550827423,0.533548387
156,0.589215861,0.549054374,0.537677419
157,0.591971906,0.551463903,0.536215054
158,0.588771337,0.541052919,0.529677419
159,0.590193812,0.546053828,0.532215054
160,0.585215149,0.543917076,0.533526882
161,0.589793741,0.54850882,0.53488172
162,0.588371266,0.545962902,0.534107527
163,0.589438122,0.547235861,0.533311828
164,0.587971195,0.53864339,0.536
165,0.592371977,0.550918349,0.532473118
166,0.589349218,0.544849063,0.536193548
167,0.585926387,0.545303692,0.532473118
168,0.589571479,0.540007274,0.533182796
169,0.590060455,0.54673577,0.471354839
170,0.597483997,0.550645572,0.470494624
171,0.593927809,0.547554101,0.472688172
172,0.581792319,0.541280233,0.471096774
173,0.589660384,0.545076378,0.468602151
174,0.591927454,0.543189671,0.470752688
175,0.591705192,0.542735043,0.535333333
176,0.592905405,0.545803783,0.474150538
177,0.58863798,0.546826696,0.531655914
178,0.592838727,0.540961993,0.464129032
179,0.594194523,0.544894526,0.532408602
180,0.589571479,0.549599927,0.467010753
181,0.587793385,0.540893799,0.468086022
182,0.585526316,0.535120022,0.467075269
183,0.588726885,0.535688307,0.529376344
184,0.591549609,0.543530642,0.532387097
185,0.587615576,0.54091653,0.467935484
186,0.589660384,0.539984543,0.532537634
187,0.589704836,0.547304055,0.460537634
188,0.592283073,0.535824695,0.469634409
189,0.586015292,0.538620658,0.467053763
190,0.591905228,0.535665576,0.466645161
191,0.58834904,0.541484815,0.473333333
192,0.578791785,0.538416076,0.535096774
193,0.586948791,0.545417349,0.538064516
194,0.581747866,0.53509729,0.466086022
195,0.585437411,0.535483724,0.464946237
196,0.583837127,0.548099654,0.471462366
197,0.586459815,0.537597745,0.472236559
198,0.583014758,0.535188216,0.537634409
199,0.582903627,0.531642117,0.47544086
200,0.588504623,0.54221222,0.467741935
201,0.579391892,0.534983633,0.473290323
202,0.58277027,0.535756501,0.530731183
203,0.579080725,0.542939625,0.543741935
204,0.579258535,0.534801782,0.53772043
205,0.581570057,0.535779233,0.528408602
